state,window_date,size,purchase_count,population_variance
ANDAMAN & NICOBAR,2022-04-02,M,1,0.000000
ANDAMAN & NICOBAR,2022-04-03,S,2,5700.250000
ANDAMAN & NICOBAR,2022-04-04,S,3,76126.888889
ANDAMAN & NICOBAR,2022-04-05,XS,3,10072.888889
ANDAMAN & NICOBAR,2022-04-06,XS,3,10072.888889
ANDAMAN & NICOBAR,2022-04-07,S,4,57160.500000
ANDAMAN & NICOBAR,2022-04-08,XL,4,23102.750000
ANDAMAN & NICOBAR,2022-04-09,XL,5,18957.440000
ANDAMAN & NICOBAR,2022-04-10,XL,5,18957.440000
ANDAMAN & NICOBAR,2022-04-11,XL,5,18957.440000
ANDAMAN & NICOBAR,2022-04-12,XL,5,18957.440000
ANDAMAN & NICOBAR,2022-04-13,XXL,5,29763.840000
ANDAMAN & NICOBAR,2022-04-14,XXL,5,27159.040000
ANDAMAN & NICOBAR,2022-04-15,XXL,8,29638.859375
ANDAMAN & NICOBAR,2022-04-16,XXL,9,50655.777778
ANDAMAN & NICOBAR,2022-04-17,XXL,8,56751.359375
ANDAMAN & NICOBAR,2022-04-18,XXL,8,56751.359375
ANDAMAN & NICOBAR,2022-04-19,XXL,7,52967.673469
ANDAMAN & NICOBAR,2022-04-20,XXL,6,61278.472222
ANDAMAN & NICOBAR,2022-04-21,XL,6,27454.333333
ANDAMAN & NICOBAR,2022-04-22,XL,7,24355.632653
ANDAMAN & NICOBAR,2022-04-23,XL,7,24355.632653
ANDAMAN & NICOBAR,2022-04-24,XL,7,24355.632653
ANDAMAN & NICOBAR,2022-04-25,XL,7,24355.632653
ANDAMAN & NICOBAR,2022-04-26,XL,6,26933.472222
ANDAMAN & NICOBAR,2022-04-27,XL,6,24984.805556
ANDAMAN & NICOBAR,2022-04-28,XL,6,24984.805556
ANDAMAN & NICOBAR,2022-04-29,S,5,47203.760000
ANDAMAN & NICOBAR,2022-04-30,XXL,4,38710.687500
ANDAMAN & NICOBAR,2022-05-01,XXL,4,38710.687500
ANDAMAN & NICOBAR,2022-05-02,3XL,4,138258.187500
ANDAMAN & NICOBAR,2022-05-03,S,3,64784.222222
ANDAMAN & NICOBAR,2022-05-04,3XL,4,109996.687500
ANDAMAN & NICOBAR,2022-05-05,M,5,131384.160000
ANDAMAN & NICOBAR,2022-05-06,3XL,5,88107.600000
ANDAMAN & NICOBAR,2022-05-07,3XL,6,83926.472222
ANDAMAN & NICOBAR,2022-05-08,3XL,6,83926.472222
ANDAMAN & NICOBAR,2022-05-09,3XL,6,52635.888889
ANDAMAN & NICOBAR,2022-05-10,3XL,6,17534.472222
ANDAMAN & NICOBAR,2022-05-11,3XL,6,17534.472222
ANDAMAN & NICOBAR,2022-05-12,3XL,8,28973.937500
ANDAMAN & NICOBAR,2022-05-13,3XL,8,28973.937500
ANDAMAN & NICOBAR,2022-05-14,XL,8,137883.500000
ANDAMAN & NICOBAR,2022-05-15,3XL,7,27449.551020
ANDAMAN & NICOBAR,2022-05-16,XL,8,141916.484375
ANDAMAN & NICOBAR,2022-05-17,XL,8,141916.484375
ANDAMAN & NICOBAR,2022-05-18,XXL,8,42101.859375
ANDAMAN & NICOBAR,2022-05-19,M,9,53843.358025
ANDAMAN & NICOBAR,2022-05-20,M,9,53843.358025
ANDAMAN & NICOBAR,2022-05-21,M,9,53843.358025
ANDAMAN & NICOBAR,2022-05-22,M,8,12045.359375
ANDAMAN & NICOBAR,2022-05-23,M,7,13270.000000
ANDAMAN & NICOBAR,2022-05-24,M,7,13270.000000
ANDAMAN & NICOBAR,2022-05-25,M,7,11582.244898
ANDAMAN & NICOBAR,2022-05-26,M,7,11582.244898
ANDAMAN & NICOBAR,2022-05-27,M,7,11582.244898
ANDAMAN & NICOBAR,2022-05-28,XL,7,9520.530612
ANDAMAN & NICOBAR,2022-05-29,XL,7,9520.530612
ANDAMAN & NICOBAR,2022-05-30,XL,6,2250.000000
ANDAMAN & NICOBAR,2022-05-31,XL,5,1747.440000
ANDAMAN & NICOBAR,2022-06-01,XL,4,2136.250000
ANDAMAN & NICOBAR,2022-06-02,XL,4,2136.250000
ANDAMAN & NICOBAR,2022-06-03,XL,4,2136.250000
ANDAMAN & NICOBAR,2022-06-04,L,5,100617.200000
ANDAMAN & NICOBAR,2022-06-05,L,5,100617.200000
ANDAMAN & NICOBAR,2022-06-06,L,6,92528.222222
ANDAMAN & NICOBAR,2022-06-07,XXL,6,201849.000000
ANDAMAN & NICOBAR,2022-06-08,L,6,98024.583333
ANDAMAN & NICOBAR,2022-06-09,M,7,22056.530612
ANDAMAN & NICOBAR,2022-06-10,XXL,7,173072.693878
ANDAMAN & NICOBAR,2022-06-11,XXL,7,173072.693878
ANDAMAN & NICOBAR,2022-06-12,L,7,115523.632653
ANDAMAN & NICOBAR,2022-06-13,L,7,115523.632653
ANDAMAN & NICOBAR,2022-06-14,M,5,22199.760000
ANDAMAN & NICOBAR,2022-06-15,XS,9,55373.061728
ANDAMAN & NICOBAR,2022-06-16,XS,9,54602.000000
ANDAMAN & NICOBAR,2022-06-17,XS,9,54602.000000
ANDAMAN & NICOBAR,2022-06-18,XS,9,54602.000000
ANDAMAN & NICOBAR,2022-06-19,XS,9,54602.000000
ANDAMAN & NICOBAR,2022-06-20,XS,8,59886.687500
ANDAMAN & NICOBAR,2022-06-21,XS,8,59886.687500
ANDAMAN & NICOBAR,2022-06-22,M,9,19746.000000
ANDAMAN & NICOBAR,2022-06-23,M,11,19266.809917
ANDAMAN & NICOBAR,2022-06-24,M,12,21311.833333
ANDAMAN & NICOBAR,2022-06-25,M,11,22257.537190
ANDAMAN & NICOBAR,2022-06-26,M,11,28999.603306
ANDAMAN & NICOBAR,2022-06-27,M,13,32321.786982
ANDAMAN & NICOBAR,2022-06-28,M,12,30821.250000
ANDAMAN & NICOBAR,2022-06-29,M,12,33482.805556
ANDAMAN & NICOBAR,2022-06-30,M,12,33482.805556
ANDAMAN & NICOBAR,2022-07-01,M,10,30583.000000
ANDAMAN & NICOBAR,2022-07-02,M,8,33825.687500
ANDAMAN & NICOBAR,2022-07-03,M,6,18833.472222
ANDAMAN & NICOBAR,2022-07-04,M,4,5843.187500
ANDAMAN & NICOBAR,2022-07-05,M,4,5843.187500
ANDAMAN & NICOBAR,2022-07-06,M,3,7410.666667
ANDAMAN & NICOBAR,2022-07-07,M,1,0.000000
ANDAMAN & NICOBAR,2022-07-08,M,1,0.000000
ANDHRA PRADESH,2022-04-01,3XL,1,0.000000
ANDHRA PRADESH,2022-04-02,M,12,119697.000000
ANDHRA PRADESH,2022-04-03,M,18,105505.052469
ANDHRA PRADESH,2022-04-04,M,28,118486.265306
ANDHRA PRADESH,2022-04-05,M,35,100668.862041
ANDHRA PRADESH,2022-04-06,M,42,120955.404195
ANDHRA PRADESH,2022-04-07,XXL,52,78767.072485
ANDHRA PRADESH,2022-04-08,XXL,63,84819.808516
ANDHRA PRADESH,2022-04-09,L,71,43751.003372
ANDHRA PRADESH,2022-04-10,L,83,55980.244157
ANDHRA PRADESH,2022-04-11,L,95,59581.429363
ANDHRA PRADESH,2022-04-12,L,98,64972.056643
ANDHRA PRADESH,2022-04-13,L,98,64787.922636
ANDHRA PRADESH,2022-04-14,L,97,81668.453821
ANDHRA PRADESH,2022-04-15,L,97,83839.475396
ANDHRA PRADESH,2022-04-16,L,102,83439.259996
ANDHRA PRADESH,2022-04-17,L,95,87648.591025
ANDHRA PRADESH,2022-04-18,L,95,90331.694626
ANDHRA PRADESH,2022-04-19,L,95,90885.129751
ANDHRA PRADESH,2022-04-20,L,93,79426.093884
ANDHRA PRADESH,2022-04-21,L,98,71416.064661
ANDHRA PRADESH,2022-04-22,L,103,58852.086719
ANDHRA PRADESH,2022-04-23,XL,107,63014.623810
ANDHRA PRADESH,2022-04-24,L,112,54357.703364
ANDHRA PRADESH,2022-04-25,L,115,56409.026843
ANDHRA PRADESH,2022-04-26,L,110,57313.662893
ANDHRA PRADESH,2022-04-27,L,113,57719.381941
ANDHRA PRADESH,2022-04-28,L,117,57735.217766
ANDHRA PRADESH,2022-04-29,L,111,56366.147228
ANDHRA PRADESH,2022-04-30,L,113,56140.287571
ANDHRA PRADESH,2022-05-01,M,104,68975.588665
ANDHRA PRADESH,2022-05-02,M,107,63898.420473
ANDHRA PRADESH,2022-05-03,M,112,77515.039541
ANDHRA PRADESH,2022-05-04,M,109,86120.983924
ANDHRA PRADESH,2022-05-05,M,99,85444.666259
ANDHRA PRADESH,2022-05-06,L,102,40662.503652
ANDHRA PRADESH,2022-05-07,L,106,51455.446778
ANDHRA PRADESH,2022-05-08,XL,103,58865.905175
ANDHRA PRADESH,2022-05-09,L,111,81558.357114
ANDHRA PRADESH,2022-05-10,L,104,86482.345322
ANDHRA PRADESH,2022-05-11,L,104,86398.409763
ANDHRA PRADESH,2022-05-12,L,97,88852.824530
ANDHRA PRADESH,2022-05-13,L,90,94687.808025
ANDHRA PRADESH,2022-05-14,L,89,113012.514834
ANDHRA PRADESH,2022-05-15,L,82,134805.645003
ANDHRA PRADESH,2022-05-16,L,81,134608.784636
ANDHRA PRADESH,2022-05-17,L,78,128727.028435
ANDHRA PRADESH,2022-05-18,L,78,133017.886917
ANDHRA PRADESH,2022-05-19,L,73,110080.048039
ANDHRA PRADESH,2022-05-20,L,78,105132.224195
ANDHRA PRADESH,2022-05-21,L,75,104991.684622
ANDHRA PRADESH,2022-05-22,L,79,106130.985739
ANDHRA PRADESH,2022-05-23,L,73,109033.470820
ANDHRA PRADESH,2022-05-24,L,69,89488.858643
ANDHRA PRADESH,2022-05-25,L,67,82933.377590
ANDHRA PRADESH,2022-05-26,M,66,73051.665748
ANDHRA PRADESH,2022-05-27,M,68,71982.751730
ANDHRA PRADESH,2022-05-28,M,72,79380.304784
ANDHRA PRADESH,2022-05-29,M,74,85424.245435
ANDHRA PRADESH,2022-05-30,M,68,85588.967777
ANDHRA PRADESH,2022-05-31,M,78,89358.250493
ANDHRA PRADESH,2022-06-01,M,86,81118.702677
ANDHRA PRADESH,2022-06-02,M,91,85417.672020
ANDHRA PRADESH,2022-06-03,M,89,78405.150612
ANDHRA PRADESH,2022-06-04,M,89,81787.474056
ANDHRA PRADESH,2022-06-05,L,84,83085.338294
ANDHRA PRADESH,2022-06-06,L,89,96614.752935
ANDHRA PRADESH,2022-06-07,L,98,91329.704394
ANDHRA PRADESH,2022-06-08,L,108,89898.065501
ANDHRA PRADESH,2022-06-09,L,112,85012.563457
ANDHRA PRADESH,2022-06-10,L,110,78039.426860
ANDHRA PRADESH,2022-06-11,L,104,80313.698225
ANDHRA PRADESH,2022-06-12,L,109,87255.433549
ANDHRA PRADESH,2022-06-13,L,113,80736.998982
ANDHRA PRADESH,2022-06-14,L,113,79651.548124
ANDHRA PRADESH,2022-06-15,L,112,74641.854592
ANDHRA PRADESH,2022-06-16,L,104,72290.521357
ANDHRA PRADESH,2022-06-17,M,101,66504.450348
ANDHRA PRADESH,2022-06-18,M,99,65010.747679
ANDHRA PRADESH,2022-06-19,M,97,70691.376342
ANDHRA PRADESH,2022-06-20,L,98,91594.812266
ANDHRA PRADESH,2022-06-21,M,106,66743.335707
ANDHRA PRADESH,2022-06-22,L,102,87980.119281
ANDHRA PRADESH,2022-06-23,L,98,92758.999167
ANDHRA PRADESH,2022-06-24,L,100,104825.000400
ANDHRA PRADESH,2022-06-25,L,98,110322.296960
ANDHRA PRADESH,2022-06-26,L,99,101202.776860
