state,month,median_variety,eligible_style_count,eligibility_scope
ANDAMAN & NICOBAR,2022-04,1.0,69,global
ANDAMAN & NICOBAR,2022-05,1.0,57,global
ANDAMAN & NICOBAR,2022-06,1.0,62,global
ANDHRA PRADESH,2022-03,1.0,5,global
ANDHRA PRADESH,2022-04,2.0,499,global
ANDHRA PRADESH,2022-05,2.0,483,global
ANDHRA PRADESH,2022-06,2.0,486,global
ARUNACHAL PRADESH,2022-04,1.0,44,global
ARUNACHAL PRADESH,2022-05,1.0,39,global
ARUNACHAL PRADESH,2022-06,1.0,28,global
ASSAM,2022-04,1.0,309,global
ASSAM,2022-05,1.0,248,global
ASSAM,2022-06,1.0,243,global
BIHAR,2022-04,1.0,315,global
BIHAR,2022-05,1.0,269,global
BIHAR,2022-06,1.0,292,global
CHANDIGARH,2022-03,1.0,1,global
CHANDIGARH,2022-04,1.0,85,global
CHANDIGARH,2022-05,1.0,85,global
CHANDIGARH,2022-06,1.0,72,global
CHHATTISGARH,2022-04,1.0,185,global
CHHATTISGARH,2022-05,1.0,171,global
CHHATTISGARH,2022-06,1.0,153,global
DADRA AND NAGAR,2022-04,1.0,25,global
DADRA AND NAGAR,2022-05,1.0,22,global
DADRA AND NAGAR,2022-06,1.0,15,global
DELHI,2022-03,1.0,9,global
DELHI,2022-04,2.0,617,global
DELHI,2022-05,2.0,601,global
DELHI,2022-06,2.0,560,global
GOA,2022-03,1.0,1,global
GOA,2022-04,1.0,256,global
GOA,2022-05,1.0,195,global
GOA,2022-06,1.0,184,global
GUJARAT,2022-03,1.0,9,global
GUJARAT,2022-04,1.0,521,global
GUJARAT,2022-05,2.0,493,global
GUJARAT,2022-06,1.0,462,global
HARYANA,2022-03,1.0,8,global
HARYANA,2022-04,2.0,486,global
HARYANA,2022-05,2.0,480,global
HARYANA,2022-06,1.0,453,global
HIMACHAL PRADESH,2022-04,1.0,160,global
HIMACHAL PRADESH,2022-05,1.0,153,global
HIMACHAL PRADESH,2022-06,1.0,140,global
JAMMU & KASHMIR,2022-04,1.0,144,global
JAMMU & KASHMIR,2022-05,1.0,134,global
JAMMU & KASHMIR,2022-06,1.0,153,global
JHARKHAND,2022-04,1.0,252,global
JHARKHAND,2022-05,1.0,237,global
JHARKHAND,2022-06,1.0,193,global
KARNATAKA,2022-03,1.0,22,global
KARNATAKA,2022-04,3.0,827,global
KARNATAKA,2022-05,2.0,767,global
KARNATAKA,2022-06,2.0,781,global
KERALA,2022-03,1.0,8,global
KERALA,2022-04,2.0,555,global
KERALA,2022-05,2.0,508,global
KERALA,2022-06,2.0,504,global
LADAKH,2022-04,1.0,13,global
LADAKH,2022-05,1.0,8,global
LADAKH,2022-06,1.0,15,global
LAKSHADWEEP,2022-06,1.0,1,global
MADHYA PRADESH,2022-04,1.0,368,global
MADHYA PRADESH,2022-05,1.0,336,global
MADHYA PRADESH,2022-06,1.0,336,global
MAHARASHTRA,2022-03,1.0,20,global
MAHARASHTRA,2022-04,3.0,878,global
MAHARASHTRA,2022-05,3.0,825,global
MAHARASHTRA,2022-06,3.0,834,global
MANIPUR,2022-04,1.0,91,global
MANIPUR,2022-05,1.0,80,global
MANIPUR,2022-06,1.0,51,global
MEGHALAYA,2022-04,1.0,63,global
MEGHALAYA,2022-05,1.0,49,global
MEGHALAYA,2022-06,1.0,40,global
MIZORAM,2022-04,1.0,19,global
MIZORAM,2022-05,1.0,20,global
MIZORAM,2022-06,1.0,22,global
NAGALAND,2022-04,1.0,37,global
NAGALAND,2022-05,1.0,40,global
NAGALAND,2022-06,1.0,39,global
NEW DELHI,2022-04,1.0,29,global
NEW DELHI,2022-05,1.0,24,global
NEW DELHI,2022-06,1.0,17,global
ODISHA,2022-03,1.0,6,global
ODISHA,2022-04,1.0,338,global
ODISHA,2022-05,1.0,294,global
ODISHA,2022-06,1.0,300,global
ORISSA,2022-06,1.0,2,global
PB,2022-04,1.0,1,global
PONDICHERRY,2022-05,1.0,1,global
PUDUCHERRY,2022-04,1.0,79,global
PUDUCHERRY,2022-05,1.0,76,global
PUDUCHERRY,2022-06,1.0,89,global
PUNJAB,2022-04,1.0,331,global
PUNJAB,2022-05,1.0,309,global
PUNJAB,2022-06,1.0,276,global
RAJASTHAN,2022-03,1.0,3,global
RAJASTHAN,2022-04,1.0,384,global
RAJASTHAN,2022-05,1.0,360,global
RAJASTHAN,2022-06,1.0,349,global
SIKKIM,2022-04,1.0,56,global
SIKKIM,2022-05,1.0,42,global
SIKKIM,2022-06,1.0,46,global
TAMIL NADU,2022-03,1.0,14,global
TAMIL NADU,2022-04,2.0,711,global
TAMIL NADU,2022-05,2.0,707,global
TAMIL NADU,2022-06,2.0,673,global
TELANGANA,2022-03,1.0,7,global
TELANGANA,2022-04,2.0,676,global
TELANGANA,2022-05,2.0,681,global
TELANGANA,2022-06,2.0,674,global
TRIPURA,2022-03,1.0,1,global
TRIPURA,2022-04,1.0,52,global
TRIPURA,2022-05,1.0,37,global
TRIPURA,2022-06,1.0,28,global
UTTAR PRADESH,2022-03,1.0,17,global
UTTAR PRADESH,2022-04,2.0,688,global
UTTAR PRADESH,2022-05,2.0,663,global
UTTAR PRADESH,2022-06,2.0,630,global
UTTARAKHAND,2022-04,1.0,275,global
UTTARAKHAND,2022-05,1.0,260,global
UTTARAKHAND,2022-06,1.0,203,global
WEST BENGAL,2022-03,1.0,15,global
WEST BENGAL,2022-04,2.0,609,global
WEST BENGAL,2022-05,2.0,507,global
WEST BENGAL,2022-06,1.5,510,global
