state,month,median_variety,eligible_style_count,eligibility_scope
ANDAMAN & NICOBAR,2022-04,1.0,24,local
ANDAMAN & NICOBAR,2022-05,1.0,20,local
ANDAMAN & NICOBAR,2022-06,1.0,17,local
ANDHRA PRADESH,2022-03,1.0,2,local
ANDHRA PRADESH,2022-04,2.0,258,local
ANDHRA PRADESH,2022-05,2.0,245,local
ANDHRA PRADESH,2022-06,2.0,231,local
ARUNACHAL PRADESH,2022-04,1.0,7,local
ARUNACHAL PRADESH,2022-05,1.0,8,local
ARUNACHAL PRADESH,2022-06,1.0,3,local
ASSAM,2022-04,2.0,102,local
ASSAM,2022-05,1.5,82,local
ASSAM,2022-06,1.0,86,local
BIHAR,2022-04,2.0,112,local
BIHAR,2022-05,2.0,106,local
BIHAR,2022-06,1.0,95,local
CHANDIGARH,2022-03,1.0,1,local
CHANDIGARH,2022-04,1.0,32,local
CHANDIGARH,2022-05,1.0,32,local
CHANDIGARH,2022-06,1.0,21,local
CHHATTISGARH,2022-04,1.0,59,local
CHHATTISGARH,2022-05,1.0,57,local
CHHATTISGARH,2022-06,1.0,55,local
DADRA AND NAGAR,2022-04,1.0,7,local
DADRA AND NAGAR,2022-05,1.0,5,local
DADRA AND NAGAR,2022-06,1.0,1,local
DELHI,2022-03,1.0,2,local
DELHI,2022-04,3.0,345,local
DELHI,2022-05,3.0,325,local
DELHI,2022-06,2.0,312,local
GOA,2022-03,1.0,1,local
GOA,2022-04,1.0,87,local
GOA,2022-05,1.0,71,local
GOA,2022-06,1.0,68,local
GUJARAT,2022-03,1.0,5,local
GUJARAT,2022-04,2.0,265,local
GUJARAT,2022-05,2.0,264,local
GUJARAT,2022-06,2.0,226,local
HARYANA,2022-03,1.0,1,local
HARYANA,2022-04,2.0,250,local
HARYANA,2022-05,2.0,220,local
HARYANA,2022-06,2.0,221,local
HIMACHAL PRADESH,2022-04,2.0,43,local
HIMACHAL PRADESH,2022-05,1.0,40,local
HIMACHAL PRADESH,2022-06,1.0,29,local
JAMMU & KASHMIR,2022-04,1.0,60,local
JAMMU & KASHMIR,2022-05,1.0,56,local
JAMMU & KASHMIR,2022-06,1.0,66,local
JHARKHAND,2022-04,2.0,76,local
JHARKHAND,2022-05,2.0,87,local
JHARKHAND,2022-06,1.0,69,local
KARNATAKA,2022-03,1.0,5,local
KARNATAKA,2022-04,3.5,548,local
KARNATAKA,2022-05,3.0,468,local
KARNATAKA,2022-06,3.0,495,local
KERALA,2022-03,1.0,1,local
KERALA,2022-04,2.0,266,local
KERALA,2022-05,2.0,246,local
KERALA,2022-06,2.0,231,local
LADAKH,2022-04,1.0,4,local
LADAKH,2022-05,1.0,3,local
LADAKH,2022-06,1.0,1,local
LAKSHADWEEP,2022-06,1.0,1,local
MADHYA PRADESH,2022-04,2.0,163,local
MADHYA PRADESH,2022-05,2.0,156,local
MADHYA PRADESH,2022-06,2.0,128,local
MAHARASHTRA,2022-03,1.0,5,local
MAHARASHTRA,2022-04,4.0,647,local
MAHARASHTRA,2022-05,4.0,600,local
MAHARASHTRA,2022-06,4.0,569,local
MANIPUR,2022-04,1.0,31,local
MANIPUR,2022-05,1.0,22,local
MANIPUR,2022-06,1.0,8,local
MEGHALAYA,2022-04,1.0,14,local
MEGHALAYA,2022-05,1.0,9,local
MEGHALAYA,2022-06,1.5,6,local
MIZORAM,2022-04,1.0,5,local
MIZORAM,2022-05,1.0,8,local
MIZORAM,2022-06,1.0,10,local
NAGALAND,2022-04,1.0,8,local
NAGALAND,2022-05,1.0,15,local
NAGALAND,2022-06,1.0,16,local
NEW DELHI,2022-04,1.0,10,local
NEW DELHI,2022-05,1.0,4,local
NEW DELHI,2022-06,1.0,8,local
ODISHA,2022-03,1.0,2,local
ODISHA,2022-04,2.0,151,local
ODISHA,2022-05,2.0,100,local
ODISHA,2022-06,1.0,114,local
ORISSA,2022-06,1.0,1,local
PB,2022-04,1.0,1,local
PONDICHERRY,2022-05,1.0,1,local
PUDUCHERRY,2022-04,1.0,23,local
PUDUCHERRY,2022-05,1.0,24,local
PUDUCHERRY,2022-06,1.0,21,local
PUNJAB,2022-04,2.0,134,local
PUNJAB,2022-05,2.0,141,local
PUNJAB,2022-06,1.0,114,local
RAJASTHAN,2022-03,1.0,1,local
RAJASTHAN,2022-04,2.0,140,local
RAJASTHAN,2022-05,2.0,160,local
RAJASTHAN,2022-06,2.0,136,local
SIKKIM,2022-04,1.0,15,local
SIKKIM,2022-05,1.0,5,local
SIKKIM,2022-06,1.0,11,local
TAMIL NADU,2022-03,1.0,4,local
TAMIL NADU,2022-04,3.0,415,local
TAMIL NADU,2022-05,3.0,438,local
TAMIL NADU,2022-06,3.0,375,local
TELANGANA,2022-03,1.0,2,local
TELANGANA,2022-04,3.0,438,local
TELANGANA,2022-05,3.0,428,local
TELANGANA,2022-06,3.0,424,local
TRIPURA,2022-03,1.0,1,local
TRIPURA,2022-04,1.0,16,local
TRIPURA,2022-05,1.0,4,local
TRIPURA,2022-06,1.0,6,local
UTTAR PRADESH,2022-03,1.0,6,local
UTTAR PRADESH,2022-04,3.0,406,local
UTTAR PRADESH,2022-05,3.0,405,local
UTTAR PRADESH,2022-06,3.0,368,local
UTTARAKHAND,2022-04,2.0,87,local
UTTARAKHAND,2022-05,1.0,92,local
UTTARAKHAND,2022-06,1.0,61,local
WEST BENGAL,2022-03,1.0,7,local
WEST BENGAL,2022-04,2.0,346,local
WEST BENGAL,2022-05,2.0,291,local
WEST BENGAL,2022-06,2.0,275,local
